Date,Close,Open,High,Low,Volume,Change
2013年1月,"3,142.13","3,091.33","3,164.06","3,076.60",8.32B,4.06%
2013年2月,"3,160.19","3,162.94","3,213.60","3,105.36",8.07B,0.57%
2013年3月,"3,267.52","3,143.54","3,270.30","3,129.40",7.85B,3.40%
2013年4月,"3,328.79","3,268.63","3,328.79","3,154.96",9.23B,1.88%
2013年5月,"3,455.91","3,325.35","3,532.04","3,296.51",9.02B,3.82%
2013年6月,"3,403.25","3,460.76","3,488.31","3,294.95",9.56B,-1.52%
2013年7月,"3,626.37","3,430.48","3,649.35","3,415.23",8.37B,6.56%
2013年8月,"3,589.87","3,654.18","3,694.19","3,573.57",7.58B,-1.01%
2013年9月,"3,771.48","3,622.64","3,798.76","3,593.62",8.33B,5.06%
2013年10月,"3,919.71","3,774.18","3,966.71","3,650.03",10.31B,3.93%
2013年11月,"4,059.89","3,932.45","4,069.70","3,855.07",8.56B,3.58%
2013年12月,"4,176.59","4,065.66","4,177.73","3,979.59",9.26B,2.87%
2014年1月,"4,103.88","4,160.03","4,246.55","4,044.76",10.89B,-1.74%
2014年2月,"4,308.12","4,105.06","4,342.59","3,968.19",9.94B,4.98%
2014年3月,"4,198.99","4,261.42","4,371.71","4,131.81",11.62B,-2.53%
2014年4月,"4,114.56","4,219.87","4,286.09","3,946.03",11.05B,-2.01%
2014年5月,"4,242.62","4,121.25","4,252.08","4,021.05",9.83B,3.11%
2014年6月,"4,408.18","4,247.96","4,417.46","4,207.61",10.35B,3.90%
2014年7月,"4,369.77","4,424.71","4,485.93","4,351.04",9.70B,-0.87%
2014年8月,"4,580.27","4,363.39","4,580.27","4,321.89",8.18B,4.82%
2014年9月,"4,493.39","4,592.42","4,610.57","4,464.44",10.14B,-1.90%
2014年10月,"4,630.74","4,486.65","4,641.51","4,116.60",12.87B,3.06%
2014年11月,"4,791.63","4,633.71","4,810.86","4,594.91",8.48B,3.47%
2014年12月,"4,736.05","4,777.73","4,814.95","4,547.31",10.63B,-1.16%
2015年1月,"4,635.24","4,760.24","4,777.01","4,563.11",10.02B,-2.13%
2015年2月,"4,963.53","4,650.60","4,989.25","4,580.46",8.77B,7.08%
2015年3月,"4,900.88","4,973.43","5,042.14","4,825.93",10.39B,-1.26%
2015年4月,"4,941.42","4,894.36","5,119.83","4,844.39",8.96B,0.83%
2015年5月,"5,070.02","4,966.32","5,111.54","4,888.17",8.57B,2.60%
2015年6月,"4,986.87","5,094.94","5,164.36","4,956.23",10.53B,-1.64%
2015年7月,"5,128.28","5,029.05","5,231.94","4,901.51",9.46B,2.84%
2015年8月,"4,776.51","5,134.34","5,175.26","4,292.14",10.46B,-6.86%
2015年9月,"4,620.16","4,673.61","4,960.87","4,487.06",10.53B,-3.27%
2015年10月,"5,053.75","4,624.46","5,095.69","4,552.34",9.91B,9.38%
2015年11月,"5,108.67","5,065.64","5,163.47","4,908.66",8.40B,1.09%
2015年12月,"5,007.41","5,129.64","5,176.77","4,871.59",9.86B,-1.98%
2016年1月,"4,613.95","4,897.65","4,926.73","4,313.39",10.70B,-7.86%
2016年2月,"4,557.95","4,587.59","4,636.93","4,209.76",10.51B,-1.21%
2016年3月,"4,869.85","4,596.01","4,899.14","4,581.75",10.06B,6.84%
2016年4月,"4,775.36","4,842.55","4,969.32","4,740.84",8.82B,-1.94%
2016年5月,"4,948.06","4,786.55","4,951.45","4,678.38",9.21B,3.62%
2016年6月,"4,842.67","4,928.97","4,980.14","4,574.25",10.96B,-2.13%
2016年7月,"5,162.13","4,837.18","5,175.81","4,786.01",8.01B,6.60%
2016年8月,"5,213.22","5,167.42","5,275.74","5,109.80",8.79B,0.99%
2016年9月,"5,312.00","5,218.28","5,342.88","5,097.80",9.63B,1.89%
2016年10月,"5,189.14","5,300.29","5,340.52","5,169.76",7.97B,-2.31%
2016年11月,"5,323.68","5,199.77","5,403.86","5,034.41",9.91B,2.59%
2016年12月,"5,383.12","5,323.88","5,512.37","5,238.21",9.32B,1.12%
2017年1月,"5,614.79","5,425.62","5,669.61","5,397.99",8.38B,4.30%
2017年2月,"5,825.44","5,654.51","5,867.89","5,616.40",8.56B,3.75%
2017年3月,"5,911.74","5,874.86","5,928.06","5,769.39",11.00B,1.48%
2017年4月,"6,047.61","5,917.31","6,074.04","5,805.15",8.30B,2.30%
2017年5月,"6,198.52","6,067.56","6,221.99","5,996.81",10.24B,2.50%
2017年6月,"6,140.42","6,215.91","6,341.70","6,087.81",12.50B,-0.94%
2017年7月,"6,348.12","6,173.29","6,460.84","6,081.96",8.58B,3.38%
2017年8月,"6,428.66","6,372.16","6,435.27","6,177.19",9.58B,1.27%
2017年9月,"6,495.96","6,442.17","6,497.98","6,334.59",9.41B,1.05%
2017年10月,"6,727.67","6,506.08","6,737.75","6,484.14",9.64B,3.57%
2017年11月,"6,873.97","6,758.64","6,914.19","6,667.31",10.20B,2.17%
2017年12月,"6,903.39","6,844.04","7,003.89","6,734.13",10.00B,0.43%
2018年1月,"7,411.48","6,937.65","7,505.77","6,924.08",10.40B,7.36%
2018年2月,"7,273.01","7,377.17","7,441.09","6,630.67",10.81B,-1.87%
2018年3月,"7,063.44","7,274.75","7,637.27","6,901.07",12.33B,-2.88%
2018年4月,"7,066.27","7,016.17","7,319.58","6,805.96",10.16B,0.04%
2018年5月,"7,442.12","7,053.65","7,492.42","6,991.14",10.64B,5.32%
2018年6月,"7,510.30","7,487.66","7,806.60","7,419.56",12.84B,0.92%
2018年7月,"7,671.79","7,451.90","7,933.31","7,443.10",9.42B,2.15%
2018年8月,"8,109.54","7,701.82","8,133.30","7,659.52",10.70B,5.71%
2018年9月,"8,046.35","8,087.95","8,104.07","7,873.93",11.15B,-0.78%
2018年10月,"7,305.90","8,091.50","8,107.38","6,922.83",14.83B,-9.20%
2018年11月,"7,330.54","7,327.82","7,572.93","6,830.76",12.57B,0.34%
2018年12月,"6,635.28","7,486.13","7,486.51","6,190.17",13.12B,-9.48%
2019年1月,"7,281.74","6,506.91","7,303.12","6,457.13",12.23B,9.74%
2019年2月,"7,532.53","7,256.37","7,602.69","7,225.14",10.64B,3.44%
2019年3月,"7,729.32","7,587.45","7,850.10","7,332.92",13.04B,2.61%
2019年4月,"8,095.39","7,800.24","8,176.08","7,777.10",10.75B,4.74%
2019年5月,"7,453.15","8,132.93","8,164.71","7,448.23",12.28B,-7.93%
2019年6月,"8,006.24","7,441.22","8,088.88","7,292.22",12.57B,7.42%
2019年7月,"8,175.42","8,145.85","8,339.64","8,059.29",11.14B,2.11%
2019年8月,"7,962.88","8,190.56","8,311.04","7,662.90",11.99B,-2.60%
2019年9月,"7,999.33","7,906.44","8,243.80","7,847.32",11.51B,0.46%
2019年10月,"8,292.36","8,026.83","8,335.56","7,700.00",11.23B,3.66%
2019年11月,"8,665.47","8,335.05","8,705.91","8,326.56",10.75B,4.50%
2019年12月,"8,972.60","8,672.84","9,052.00","8,435.40",12.25B,3.54%
2020年1月,"9,150.94","9,039.46","9,451.43","8,943.50",12.89B,1.99%
2020年2月,"8,567.37","9,190.72","9,838.37","8,264.16",13.39B,-6.38%
2020年3月,"8,575.62","8,663.40","9,069.47","8,375.30",-,0.10%
